"CASEID","D104","D108","D111","V012","V024","V025","V131","V149","V136","V190","V155","S119"
"      004008501  3",NA,NA,NA,15,1,2,10,3,5,1,2,10
"      004012101  2",1,0,0,38,1,2,10,2,4,1,2,10
"      004012201  2",0,0,0,20,1,2,10,2,4,1,2,10
"      004012301  2",1,0,1,32,1,2,10,4,5,1,2,10
"      004012401  2",0,0,0,26,1,2,10,1,4,1,2,10
"      004012501  2",0,0,0,22,1,2,10,4,3,1,2,10
"      004208201  2",0,0,0,43,1,2,10,4,4,2,2,10
"      004208801  4",0,0,0,24,1,2,10,4,5,2,2,10
"      004210401  2",1,1,0,30,1,2,10,3,5,1,2,10
"      004210401  3",NA,NA,NA,14,1,2,10,3,5,1,2,10
"      004210601  2",NA,NA,NA,NA,1,2,NA,NA,NA,1,NA,NA
"      004210601  5",1,0,0,17,1,2,10,3,5,1,2,10
"      004216601  2",1,0,0,32,1,2,10,1,5,1,0,10
"      004216601  4",NA,NA,NA,13,1,2,10,3,5,1,2,10
"      004216801  2",0,0,0,36,1,2,10,0,3,2,0,10
"      004217001  2",0,0,0,23,1,2,10,4,4,1,2,10
"      004217301  2",0,0,0,40,1,2,10,4,5,1,2,10
"      004404901  2",NA,NA,NA,28,1,2,10,5,3,1,2,10
"      004405101  2",0,0,0,26,1,2,10,5,3,1,2,10
"      004405301  2",1,0,0,39,1,2,10,2,3,1,2,10
"      004406001  2",0,0,0,43,1,2,10,1,4,1,2,10
"      004406101  2",0,0,0,46,1,2,10,1,7,1,2,10
"      004406101  5",NA,NA,NA,19,1,2,10,4,7,1,2,10
"      004406701  1",0,0,0,44,1,2,10,1,5,1,2,10
"      004406701  4",NA,NA,NA,12,1,2,10,2,5,1,2,10
"      004406801  6",NA,NA,NA,16,1,2,10,3,7,1,2,10
"      004406901  4",NA,NA,NA,14,1,2,10,3,4,1,2,10
"      004407001  2",0,0,0,37,1,2,10,3,4,1,2,10
"      004407101  3",NA,NA,NA,12,1,2,10,2,3,1,2,10
"      004407201  2",0,0,0,32,1,2,10,4,5,1,2,10
"      004407301  1",1,0,1,32,1,2,10,1,5,1,2,10
"      004500601  5",0,0,0,24,1,2,10,2,6,1,2,10
"      004500801  3",NA,NA,NA,41,1,2,10,2,7,1,2,10
"      004500801  5",0,0,0,37,1,2,10,4,7,1,2,10
"      004500801  6",NA,NA,NA,14,1,2,10,3,7,1,2,10
"      004500901  2",1,0,0,48,1,2,10,2,3,1,2,10
"      004503301  4",0,0,0,27,1,2,10,4,8,1,2,10
"      004503301  7",NA,NA,NA,18,1,2,10,3,8,1,2,10
"      004503401  2",0,0,0,47,1,2,10,1,3,1,1,10
"      004503501  2",0,0,0,27,1,2,10,5,4,1,2,10
"      004503601  1",NA,NA,NA,37,1,2,10,2,4,1,1,10
"      004503601  3",1,1,1,22,1,2,10,4,4,1,2,10
"      004503701  1",0,0,0,37,1,2,10,2,2,1,2,10
"      004503701  2",NA,NA,NA,13,1,2,10,3,2,1,2,10
"      004508401  2",0,0,0,21,1,2,10,3,4,1,2,10
"      004508501  2",1,0,0,49,1,2,10,3,2,1,2,10
"      004508701  1",1,1,0,29,1,2,10,1,3,1,1,10
"      004508901  2",0,0,0,31,1,2,10,2,5,1,2,10
"      004509001  2",0,0,0,24,1,2,10,5,3,1,2,10
"      004800401  2",0,0,0,28,1,2,10,2,3,1,2,10
"      004801001  2",0,0,0,43,1,2,10,3,3,1,2,10
"      004801401  1",1,0,1,36,1,2,10,1,2,1,2,10
"      004806301  4",NA,NA,NA,12,1,2,10,2,4,1,2,10
"      004806801  2",NA,NA,NA,NA,1,2,NA,NA,NA,2,NA,NA
"      004807001  1",1,1,0,47,1,2,10,0,3,1,0,10
"      004807301  3",0,0,0,22,1,2,10,4,4,2,2,10
"      004807801  3",NA,NA,NA,34,1,2,10,5,4,1,2,10
"      004808001  2",0,0,0,29,1,2,10,2,4,1,2,10
"      004808401  2",NA,NA,NA,17,1,2,10,3,5,1,2,10
"      004808401  3",1,0,0,24,1,2,10,4,5,1,2,10
"      004808901  2",0,0,0,22,1,2,10,3,3,1,2,10
"      004810401  2",0,0,0,30,1,2,10,5,4,3,2,10
"      004810501  2",0,0,0,29,1,2,10,5,4,1,2,10
"      004901801  2",0,0,0,28,1,2,10,5,3,1,2,10
"      004902901  2",0,0,0,24,1,2,10,2,4,1,2,10
"      004903001  2",NA,NA,NA,48,1,2,10,2,4,1,0,10
"      004903001  3",NA,NA,NA,17,1,2,10,3,4,1,2,10
"      004903001  4",NA,NA,NA,16,1,2,10,3,4,1,2,10
"      004904501  2",0,0,0,39,1,2,10,2,11,1,2,10
"      004904501  3",NA,NA,NA,15,1,2,10,3,11,1,2,10
"      004904501  7",NA,NA,NA,22,1,2,10,4,11,1,2,10
"      004904501  9",NA,NA,NA,20,1,2,10,3,11,1,2,10
"      004905801  2",0,0,0,28,1,2,10,4,4,1,2,10
"      005100501  2",1,0,0,42,1,2,10,2,6,1,2,10
"      005100501  3",NA,NA,NA,14,1,2,10,3,6,1,2,10
"      005100501  6",NA,NA,NA,14,1,2,10,3,6,1,2,10
"      005100801  2",0,0,0,32,1,2,10,3,4,1,2,10
"      005101301  2",0,0,0,29,1,2,10,2,7,1,2,10
"      005107801  4",0,0,0,22,1,2,10,5,8,1,2,10
"      005108001  2",NA,NA,NA,38,1,2,10,1,6,1,0,10
"      005108001  5",NA,NA,NA,15,1,2,10,3,6,1,2,10
"      005108001  6",NA,NA,NA,13,1,2,10,2,6,1,2,10
"      005108101  2",0,0,0,28,1,2,10,1,3,1,0,10
"      005108201  2",1,0,0,39,1,2,10,4,3,1,2,1
"      005112601  5",0,0,0,26,1,2,10,2,6,1,2,10
"      005114501  2",0,0,0,25,1,2,10,4,4,2,2,10
"      005114701  2",0,0,0,24,1,2,10,5,4,3,2,10
"      005114801  5",NA,NA,NA,16,1,2,10,3,5,1,2,10
